run_id,process_count,rank,local_index,task_id,mapping_rule
mpi-final_macbook_air_2d-N412-P4,4,0,0,0,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,0,1,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,0,2,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,0,3,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,1,4,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,1,5,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,1,6,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,1,7,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,2,8,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,2,9,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,2,10,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,2,11,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,3,12,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,3,13,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,3,14,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,3,15,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,4,16,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,4,17,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,4,18,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,4,19,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,5,20,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,5,21,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,5,22,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,5,23,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,6,24,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,6,25,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,6,26,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,3,6,27,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,0,7,28,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,1,7,29,task_id mod process_count
mpi-final_macbook_air_2d-N412-P4,4,2,7,30,task_id mod process_count
