run_id,rank,size,hostname,event_index,event,collective,root,blocking,duration_s,payload_count
mpi-final_macbook_air_2d-N824-P4,0,4,Phams-MacBook-Air.local,0,bcast_config,bcast,0,True,8.283404167741537e-05,
mpi-final_macbook_air_2d-N824-P4,0,4,Phams-MacBook-Air.local,1,bcast_run_id,bcast,0,True,3.2499665394425392e-06,
mpi-final_macbook_air_2d-N824-P4,0,4,Phams-MacBook-Air.local,2,bcast_assignment,bcast,0,True,2.2417050786316395e-05,4
mpi-final_macbook_air_2d-N824-P4,0,4,Phams-MacBook-Air.local,3,scatter_tasks,scatter,0,True,0.0005097080720588565,206
mpi-final_macbook_air_2d-N824-P4,0,4,Phams-MacBook-Air.local,4,gather_results,gather,0,True,0.08505145797971636,206
mpi-final_macbook_air_2d-N824-P4,0,4,Phams-MacBook-Air.local,5,gather_rank_timings,gather,0,True,6.849993951618671e-05,1
mpi-final_macbook_air_2d-N824-P4,1,4,Phams-MacBook-Air.local,0,bcast_config,bcast,0,True,0.0004976250929757953,
mpi-final_macbook_air_2d-N824-P4,1,4,Phams-MacBook-Air.local,1,bcast_run_id,bcast,0,True,2.9170187190175056e-06,
mpi-final_macbook_air_2d-N824-P4,1,4,Phams-MacBook-Air.local,2,bcast_assignment,bcast,0,True,1.7666956409811974e-05,4
mpi-final_macbook_air_2d-N824-P4,1,4,Phams-MacBook-Air.local,3,scatter_tasks,scatter,0,True,0.0005152920493856072,206
mpi-final_macbook_air_2d-N824-P4,1,4,Phams-MacBook-Air.local,4,gather_results,gather,0,True,0.0006240420043468475,206
mpi-final_macbook_air_2d-N824-P4,1,4,Phams-MacBook-Air.local,5,gather_rank_timings,gather,0,True,7.6669966802001e-06,1
mpi-final_macbook_air_2d-N824-P4,2,4,Phams-MacBook-Air.local,0,bcast_config,bcast,0,True,0.0004899579798802733,
mpi-final_macbook_air_2d-N824-P4,2,4,Phams-MacBook-Air.local,1,bcast_run_id,bcast,0,True,2.666027285158634e-06,
mpi-final_macbook_air_2d-N824-P4,2,4,Phams-MacBook-Air.local,2,bcast_assignment,bcast,0,True,1.5750061720609665e-05,4
mpi-final_macbook_air_2d-N824-P4,2,4,Phams-MacBook-Air.local,3,scatter_tasks,scatter,0,True,0.0005662499461323023,206
mpi-final_macbook_air_2d-N824-P4,2,4,Phams-MacBook-Air.local,4,gather_results,gather,0,True,0.01532162504736334,206
mpi-final_macbook_air_2d-N824-P4,2,4,Phams-MacBook-Air.local,5,gather_rank_timings,gather,0,True,0.0006610830314457417,1
mpi-final_macbook_air_2d-N824-P4,3,4,Phams-MacBook-Air.local,0,bcast_config,bcast,0,True,0.00035574997309595346,
mpi-final_macbook_air_2d-N824-P4,3,4,Phams-MacBook-Air.local,1,bcast_run_id,bcast,0,True,2.7079368010163307e-06,
mpi-final_macbook_air_2d-N824-P4,3,4,Phams-MacBook-Air.local,2,bcast_assignment,bcast,0,True,1.2959004379808903e-05,4
mpi-final_macbook_air_2d-N824-P4,3,4,Phams-MacBook-Air.local,3,scatter_tasks,scatter,0,True,0.0005683329654857516,206
mpi-final_macbook_air_2d-N824-P4,3,4,Phams-MacBook-Air.local,4,gather_results,gather,0,True,0.05078050005249679,206
mpi-final_macbook_air_2d-N824-P4,3,4,Phams-MacBook-Air.local,5,gather_rank_timings,gather,0,True,2.5416025891900063e-05,1
