run_id,process_count,rank,local_index,task_id,mapping_rule
mpi-ablation_particles8_dense-N12-P4,4,0,0,0,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,1,0,1,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,2,0,2,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,3,0,3,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,0,1,4,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,1,1,5,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,2,1,6,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,3,1,7,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,0,2,8,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,1,2,9,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,2,2,10,task_id mod process_count
mpi-ablation_particles8_dense-N12-P4,4,3,2,11,task_id mod process_count
